'sample interval','Fx','Fy','Fz','Mx','My','Mz','COPx','COPy'
305,2.113,-0.15,0.116,1.382,-0.168,0.12,0.037,0.257
306,2.085,-0.135,0.311,1.372,-0.122,0.112,0.032,0.255
307,2.063,-0.115,0.409,1.362,-0.086,0.106,0.027,0.253
308,2.047,-0.092,0.382,1.351,-0.063,0.101,0.022,0.251
309,2.041,-0.067,0.235,1.34,-0.055,0.098,0.018,0.249
310,2.044,-0.046,-0.003,1.33,-0.062,0.098,0.016,0.248
311,2.054,-0.032,-0.287,1.322,-0.078,0.099,0.014,0.247
312,2.067,-0.027,-0.571,1.316,-0.099,0.102,0.014,0.246
313,2.076,-0.028,-0.817,1.313,-0.118,0.108,0.014,0.246
314,2.076,-0.031,-1,1.314,-0.127,0.114,0.012,0.247
315,2.066,-0.03,-1.11,1.318,-0.125,0.122,0.01,0.248
316,2.046,-0.023,-1.145,1.322,-0.11,0.13,0.007,0.249
317,2.02,-0.009,-1.115,1.324,-0.085,0.138,0.003,0.249
318,1.994,0.009,-1.036,1.321,-0.055,0.145,-0.002,0.248
319,1.974,0.027,-0.924,1.313,-0.025,0.152,-0.005,0.247
320,1.966,0.04,-0.793,1.302,0,0.159,-0.008,0.244
321,1.972,0.045,-0.657,1.291,0.019,0.165,-0.009,0.242
322,1.994,0.041,-0.535,1.281,0.029,0.171,-0.009,0.24
323,2.028,0.027,-0.446,1.275,0.03,0.177,-0.008,0.239
324,2.07,0.005,-0.405,1.276,0.022,0.184,-0.006,0.239
325,2.113,-0.024,-0.422,1.283,0.004,0.189,-0.003,0.24
326,2.152,-0.057,-0.494,1.296,-0.022,0.194,0.001,0.243
327,2.183,-0.087,-0.608,1.313,-0.052,0.197,0.005,0.246
328,2.21,-0.113,-0.743,1.331,-0.084,0.199,0.008,0.25
329,2.237,-0.13,-0.878,1.346,-0.113,0.199,0.012,0.253
330,2.267,-0.136,-0.987,1.354,-0.136,0.199,0.014,0.254
331,2.304,-0.131,-1.051,1.35,-0.153,0.199,0.016,0.254
332,2.343,-0.118,-1.054,1.333,-0.163,0.199,0.018,0.251
333,2.382,-0.1,-0.985,1.306,-0.17,0.199,0.021,0.245
334,2.417,-0.08,-0.842,1.274,-0.177,0.197,0.024,0.239
335,2.446,-0.061,-0.635,1.241,-0.186,0.193,0.029,0.233
336,2.472,-0.046,-0.396,1.215,-0.198,0.186,0.035,0.227
337,2.494,-0.036,-0.175,1.197,-0.214,0.175,0.041,0.224
338,2.513,-0.03,-0.031,1.189,-0.232,0.163,0.047,0.222
339,2.525,-0.03,-0.009,1.19,-0.255,0.15,0.052,0.222
340,2.527,-0.034,-0.129,1.197,-0.281,0.137,0.055,0.223
341,2.518,-0.043,-0.368,1.207,-0.31,0.125,0.056,0.226
342,2.499,-0.055,-0.67,1.219,-0.342,0.115,0.057,0.229
343,2.472,-0.069,-0.955,1.229,-0.372,0.107,0.059,0.231
344,2.443,-0.079,-1.145,1.234,-0.397,0.102,0.06,0.232
345,2.415,-0.084,-1.19,1.235,-0.414,0.098,0.063,0.233
346,2.391,-0.082,-1.078,1.231,-0.42,0.097,0.066,0.232
347,2.373,-0.078,-0.844,1.224,-0.415,0.098,0.068,0.23
348,2.361,-0.077,-0.561,1.216,-0.402,0.099,0.07,0.228
